GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US250250006013,250250006013,"Block Group 3, Census Tract 6.01, Suffolk County, Massachusetts",242,50,29,27,0,12,0,12,16,18,20,23,8,13,7,11,0,12,0,12,57,42,23,21,32,24,16,18,11,17,13,15,10,16
1500000US250250006014,250250006014,"Block Group 4, Census Tract 6.01, Suffolk County, Massachusetts",393,67,35,36,0,12,10,16,41,30,34,27,17,19,9,14,34,32,41,33,65,45,22,21,26,19,18,17,16,22,17,19,8,12
1500000US250250006021,250250006021,"Block Group 1, Census Tract 6.02, Suffolk County, Massachusetts",595,98,46,34,76,48,78,46,5,7,24,28,10,15,63,63,10,16,27,25,32,21,43,34,73,44,22,21,41,36,38,32,7,14
1500000US250250006022,250250006022,"Block Group 2, Census Tract 6.02, Suffolk County, Massachusetts",507,70,65,39,83,42,45,36,39,38,18,19,51,42,37,31,9,11,41,29,14,19,52,39,12,14,24,21,0,12,2,12,15,17
1500000US250250006023,250250006023,"Block Group 3, Census Tract 6.02, Suffolk County, Massachusetts",620,100,192,90,145,77,58,60,33,30,36,24,19,21,0,12,23,25,0,12,36,37,11,17,51,39,1,6,0,12,0,12,15,24
1500000US250250007011,250250007011,"Block Group 1, Census Tract 7.01, Suffolk County, Massachusetts",443,120,74,53,9,15,0,12,0,12,0,12,38,44,22,29,31,35,60,68,77,50,29,26,35,26,28,33,40,65,0,12,0,12
1500000US250250007012,250250007012,"Block Group 2, Census Tract 7.01, Suffolk County, Massachusetts",214,58,81,66,30,34,24,29,36,60,0,12,9,14,12,20,0,12,8,12,0,12,0,12,14,24,0,12,0,12,0,12,0,12
1500000US250250007013,250250007013,"Block Group 3, Census Tract 7.01, Suffolk County, Massachusetts",282,74,67,61,25,37,0,12,0,12,0,12,0,12,35,56,57,41,0,12,16,24,7,11,40,41,22,27,13,21,0,12,0,12
1500000US250250007014,250250007014,"Block Group 4, Census Tract 7.01, Suffolk County, Massachusetts",307,110,7,13,56,33,13,21,0,12,16,25,42,39,0,12,0,12,31,32,13,22,33,33,41,66,13,23,23,28,14,26,5,10
1500000US250250007015,250250007015,"Block Group 5, Census Tract 7.01, Suffolk County, Massachusetts",632,126,61,52,36,58,15,23,25,34,75,73,54,63,0,12,51,33,0,12,92,80,14,22,101,81,37,37,0,12,71,48,0,12
1500000US250250007031,250250007031,"Block Group 1, Census Tract 7.03, Suffolk County, Massachusetts",482,89,121,68,38,39,37,32,24,26,23,23,28,28,0,12,41,29,22,16,21,17,28,24,48,28,51,20,0,12,0,12,0,12
1500000US250250007032,250250007032,"Block Group 2, Census Tract 7.03, Suffolk County, Massachusetts",529,62,120,53,63,46,5,8,50,36,39,35,48,38,0,12,20,32,8,13,79,37,16,13,39,26,17,18,0,12,25,30,0,12
1500000US250250007041,250250007041,"Block Group 1, Census Tract 7.04, Suffolk County, Massachusetts",794,120,122,82,42,40,16,26,38,51,0,12,62,52,32,36,12,20,11,18,10,17,111,91,236,102,10,15,61,63,12,21,19,30
1500000US250250007042,250250007042,"Block Group 2, Census Tract 7.04, Suffolk County, Massachusetts",456,132,62,51,13,20,0,12,32,36,25,41,0,12,22,19,15,25,71,65,12,20,73,72,45,44,48,63,38,40,0,12,0,12
1500000US250250007043,250250007043,"Block Group 3, Census Tract 7.04, Suffolk County, Massachusetts",510,105,42,42,24,37,25,28,18,29,0,12,12,15,26,40,83,79,24,39,9,14,97,59,66,51,74,56,0,12,10,16,0,12
1500000US250250007044,250250007044,"Block Group 4, Census Tract 7.04, Suffolk County, Massachusetts",370,86,34,38,103,78,0,12,38,50,65,66,11,18,0,12,26,30,0,12,14,19,44,60,12,19,3,25,0,12,0,12,20,31
1500000US250250008021,250250008021,"Block Group 1, Census Tract 8.02, Suffolk County, Massachusetts",386,74,40,42,84,64,0,12,32,39,36,40,25,29,13,21,18,30,44,36,30,35,21,25,0,12,14,24,11,17,0,12,18,28
1500000US250250008022,250250008022,"Block Group 2, Census Tract 8.02, Suffolk County, Massachusetts",577,124,92,57,28,44,34,38,24,30,57,53,0,12,0,12,0,12,0,12,30,34,13,21,66,46,93,76,38,33,52,58,50,49
1500000US250250008023,250250008023,"Block Group 3, Census Tract 8.02, Suffolk County, Massachusetts",189,57,24,39,0,12,23,34,0,12,20,34,0,12,0,12,0,12,10,17,13,20,10,16,16,25,14,23,22,27,0,12,37,46
1500000US250250008024,250250008024,"Block Group 4, Census Tract 8.02, Suffolk County, Massachusetts",702,102,62,54,51,60,42,51,45,45,22,36,33,49,25,28,0,12,94,77,58,48,0,12,73,50,92,71,53,52,24,27,28,32
1500000US250250008025,250250008025,"Block Group 5, Census Tract 8.02, Suffolk County, Massachusetts",691,134,208,94,62,56,54,58,23,36,81,59,14,23,52,52,0,12,16,25,8,12,66,54,53,39,14,22,14,23,12,21,14,21
